# Seed list for text-to-text drills. Format: cyrillic|latin|english
# Multiple English glosses comma-separated; any accepted for RU→EN direction.
# For EN→RU direction, disambiguating hints in parentheses (case, gender, tense)
# make the answer unique.
# Loaded via INSERT OR IGNORE — edits here take effect on next boot; UI adds
# go straight to the DB.
я|ya|I
пару|paru|a couple (acc)
сын|syn|son
ваше|vashe|your (neut formal/pl)
дня|dnya|of the day (gen)
пора|pora|time to
неё|neyo|her (acc/gen after prep)
жить|zhit'|to live
видишь|vidish'|you see (sg)
достаточно|dostatochno|enough
господи|gospodi|Lord (vocative), good God
быстро|bystro|quickly, fast
твою|tvoyu|your (fem acc)
весь|ves'|all, whole (masc)
убить|ubit'|to kill
ночь|noch'|night
говоришь|govorish'|you speak, you say (sg)
собой|soboj|oneself (instr)
скажу|skazhu|I will say
готов|gotov|ready (masc)
слышал|slyshal|heard (masc)
какая|kakaya|which, what kind (fem)
посмотри|posmotri|look (sg)
первый|pervyj|first (masc)
самое|samoe|the very (neut)
видела|videla|saw (fem)
пусть|pust'|let, may
месте|meste|in a place (prep of место)
нашли|nashli|found (pl)
сказали|skazali|said (pl)
плохо|plokho|bad, badly
смогу|smogu|I will be able
ваши|vashi|your (pl formal)
отца|ottsa|of father (gen)
детей|detej|of children (gen)
знаем|znaem|we know
рад|rad|glad (masc)
прав|prav|right, correct (masc)
никаких|nikakikh|no, none (gen/prep pl)
имею|imeyu|I have
миссис|missis|missus, Mrs.
иногда|inogda|sometimes
смерти|smerti|of death (gen)
своих|svoikh|one's own (gen/prep pl)
пойду|pojdu|I will go
брат|brat|brother
вроде|vrode|like, sort of
рядом|ryadom|nearby, next to
мир|mir|world, peace
произошло|proizoshlo|happened (neut)
которую|kotoruyu|which, who (fem acc)
сделала|sdelala|did (fem)
говорила|govorila|spoke (fem)
знала|znala|knew (fem)
мое|moe|my (neut)
одного|odnogo|one (masc/neut gen)
таким|takim|such (masc/neut instr)
помощь|pomoshch'|help
такого|takogo|such (masc/neut gen)
кем|kem|whom (instr)
насчет|naschet|regarding, about
вчера|vchera|yesterday
случае|sluchae|in case (prep of случай)
увидеть|uvidet'|to see
нашей|nashej|our (fem gen/dat/instr/prep)
говорят|govoryat|they speak, they say
правильно|pravil'no|correctly, right
убил|ubil|killed (masc)
одно|odno|one (neut)
пойти|pojti|to go
друга|druga|of a friend (gen)
сама|sama|self, oneself (fem)
долго|dolgo|for a long time
работать|rabotat'|to work
дверь|dver'|door
делает|delaet|he/she does
женщина|zhenshchina|woman
важно|vazhno|important, importantly
кроме|krome|except, besides
будь|bud'|be (imperative sg)
собираюсь|sobirayus'|I am going to
вашей|vashej|your (fem gen/dat/instr/prep formal)
нужны|nuzhny|needed (pl)
здорово|zdorovo|great, cool
номер|nomer|number
проблема|problema|problem
проблемы|problemy|problems
денег|deneg|of money (gen)
чёрт|chyort|damn, devil
хороший|khoroshij|good (masc)
твоего|tvoego|your (masc/neut gen)
одну|odnu|one (fem acc)
дальше|dal'she|further
вернуться|vernut'sya|to return
давно|davno|long ago
последний|poslednij|last (masc)
ночи|nochi|of the night (gen)
узнать|uznat'|to find out
уверена|uverena|sure (fem)
машину|mashinu|car (acc)
права|prava|rights, right (fem)
пять|pyat'|five
моих|moikh|my (gen/prep pl)
также|takzhe|also
тому|tomu|to that (dat)
вечером|vecherom|in the evening
дети|deti|children
опять|opyat'|again
серьезно|ser'ezno|seriously
работает|rabotaet|works, is working
своим|svoim|one's own (masc/neut instr)
сначала|snachala|at first
две|dve|two (fem)
одной|odnoj|one (fem gen/dat/instr/prep)
моим|moim|my (masc/neut instr)
те|te|those (pl)
жена|zhena|wife
думаете|dumaete|you think (formal/pl)
помнишь|pomnish'|you remember (sg)
глаза|glaza|eyes
ними|nimi|them (instr after prep)
чувак|chuvak|dude, guy
ночью|noch'yu|at night
чувствую|chuvstvuyu|I feel
взять|vzyat'|to take
сразу|srazu|at once, immediately
утром|utrom|in the morning
часть|chast'|part
придется|pridetsya|will have to
стать|stat'|to become
идея|ideya|idea
дорогая|dorogaya|dear (fem), expensive (fem)
прекрасно|prekrasno|wonderfully, fine
слова|slova|words, of a word (gen)
сделали|sdelali|did (pl)
видели|videli|saw (pl)
наша|nasha|our (fem)
сердце|serdtse|heart
помню|pomnyu|I remember
парня|parnya|of a guy (gen)
момент|moment|moment
уходить|ukhodit'|to leave, to go away
